horodatage,modele,vitesse_coupe_m_min,debit_coupe_l_min,poids_piece_process_g,epaisseur_lubrifiant_process_mm,poids_final_g,epaisseur_lubrifiant_mesuree_mm,conformite_poids,conformite_lubrifiant,conformite_globale,ecart_poids_g,ecart_lubrifiant_mm,regime_anomalie
2026-05-10 18:48:27,PIECE_A,12.756,4.209,448.825,0.2639,414.439,-0.0634,KO,KO,KO,-35.561,-0.3634,rupture
2026-05-10 18:48:32,PIECE_A,199.017,16.117,455.753,0.4775,451.099,0.3469,OK,OK,OK,1.099,0.0469,normal
2026-05-10 18:48:37,PIECE_A,150.983,8.595,442.889,0.4706,449.333,0.3439,OK,OK,OK,-0.667,0.0439,normal
2026-05-10 18:48:42,PIECE_A,138.238,15.117,450.349,0.3553,449.487,0.3055,OK,OK,OK,-0.513,0.0055,normal
2026-05-10 18:48:47,PIECE_A,171.514,16.041,444.87,0.255,450.463,0.2706,OK,OK,OK,0.463,-0.0294,normal
2026-05-10 18:48:52,PIECE_A,122.834,18.417,449.965,0.2063,448.369,0.2474,OK,OK,OK,-1.631,-0.0526,derive_1
2026-05-10 18:48:57,PIECE_A,165.063,7.424,453.508,0.1626,446.514,0.2035,OK,OK,OK,-3.486,-0.0965,derive_2
2026-05-10 18:49:02,PIECE_A,148.167,12.129,449.182,0.2418,443.269,0.248,KO,OK,KO,-6.731,-0.052,derive_3
2026-05-10 18:49:07,PIECE_A,183.793,16.748,456.242,0.4682,440.755,0.2587,KO,OK,KO,-9.245,-0.0413,derive_4
2026-05-10 18:49:12,PIECE_A,148.506,11.718,454.755,0.3285,438.823,0.2152,KO,OK,KO,-11.177,-0.0848,derive_5
2026-05-10 18:49:17,PIECE_A,171.563,14.971,440.058,0.0815,437.913,0.1515,KO,OK,KO,-12.087,-0.1485,derive_6
2026-05-10 18:49:22,PIECE_A,148.594,16.213,442.193,0.233,435.096,0.1705,KO,OK,KO,-14.904,-0.1295,derive_7
2026-05-10 18:49:27,PIECE_A,174.153,19.76,449.85,0.1809,433.928,0.1206,KO,OK,KO,-16.072,-0.1794,derive_8
2026-05-10 18:49:32,PIECE_A,75.008,14.082,447.409,0.1419,432.412,0.0827,KO,KO,KO,-17.588,-0.2173,derive_9
2026-05-10 18:49:37,PIECE_A,126.339,14.71,442.645,0.4044,429.497,0.1327,KO,OK,KO,-20.503,-0.1673,derive_10
2026-05-10 18:49:42,PIECE_A,23.757,4.836,446.298,0.1923,415.062,-0.0634,KO,KO,KO,-34.938,-0.3634,rupture
2026-05-10 18:49:47,PIECE_A,145.01,17.644,452.974,0.2328,450.631,0.2783,OK,OK,OK,0.631,-0.0217,normal
2026-05-10 18:49:52,PIECE_A,191.863,14.271,447.558,0.4103,449.452,0.3291,OK,OK,OK,-0.548,0.0291,normal
2026-05-10 18:49:58,PIECE_A,138.338,14.334,445.192,0.423,449.834,0.3337,OK,OK,OK,-0.166,0.0337,normal
2026-05-10 18:50:03,PIECE_A,119.37,9.269,451.062,0.4588,450.456,0.3502,OK,OK,OK,0.456,0.0502,normal
2026-05-10 18:50:08,PIECE_A,155.506,14.175,453.754,0.4342,450.429,0.3418,OK,OK,OK,0.429,0.0418,normal
2026-05-10 18:50:13,PIECE_A,89.763,7.261,449.116,0.4747,450.331,0.3596,OK,OK,OK,0.331,0.0596,normal
2026-05-10 18:50:18,PIECE_A,181.59,16.945,453.934,0.2933,449.44,0.2844,OK,OK,OK,-0.56,-0.0156,normal
2026-05-10 18:50:23,PIECE_A,158.381,9.546,446.26,0.122,450.945,0.256,OK,OK,OK,0.945,-0.044,normal
2026-05-10 18:50:28,PIECE_A,139.528,8.885,458.15,0.1779,451.021,0.278,OK,OK,OK,1.021,-0.022,normal
2026-05-10 18:50:33,PIECE_A,151.388,8.844,458.335,0.2521,450.595,0.306,OK,OK,OK,0.595,0.006,normal
2026-05-10 18:50:38,PIECE_A,97.794,7.949,454.328,0.1661,449.969,0.284,OK,OK,OK,-0.031,-0.016,normal
2026-05-10 18:50:43,PIECE_A,149.382,13.907,454.93,0.4481,449.149,0.3385,OK,OK,OK,-0.851,0.0385,normal
2026-05-10 18:50:48,PIECE_A,148.032,17.262,455.599,0.347,449.594,0.3252,OK,OK,OK,-0.406,0.0252,normal
2026-05-10 18:50:53,PIECE_A,155.265,17.178,454.458,0.2729,450.189,0.2682,OK,OK,OK,0.189,-0.0318,normal
2026-05-10 18:50:58,PIECE_A,168.294,18.28,443.29,0.149,449.331,0.2757,OK,OK,OK,-0.669,-0.0243,normal
2026-05-10 18:51:03,PIECE_A,185.387,5.999,449.447,0.336,450.524,0.3001,OK,OK,OK,0.524,0.0001,normal
2026-05-10 18:51:08,PIECE_A,93.289,17.136,454.416,0.2284,450.326,0.2635,OK,OK,OK,0.326,-0.0365,normal
2026-05-10 18:51:13,PIECE_A,82.74,12.52,455.441,0.2635,450.577,0.2732,OK,OK,OK,0.577,-0.0268,normal
2026-05-10 18:51:18,PIECE_A,164.681,17.586,442.073,0.3092,449.924,0.3048,OK,OK,OK,-0.076,0.0048,normal
2026-05-10 18:51:23,PIECE_A,151.347,16.225,451.861,0.4,450.173,0.33,OK,OK,OK,0.173,0.03,normal
2026-05-10 18:51:28,PIECE_A,180.053,19.156,452.638,0.2411,450.566,0.2867,OK,OK,OK,0.566,-0.0133,normal
2026-05-10 18:51:33,PIECE_A,155.664,14.9,450.721,0.3839,450.944,0.3194,OK,OK,OK,0.944,0.0194,normal
2026-05-10 18:51:38,PIECE_A,92.353,9.468,456.055,0.4651,449.941,0.3411,OK,OK,OK,-0.059,0.0411,normal
2026-05-10 18:51:43,PIECE_A,181.002,15.208,455.885,0.1303,448.506,0.2802,OK,OK,OK,-1.494,-0.0198,normal
2026-05-10 18:51:48,PIECE_A,96.954,14.791,447.849,0.4481,451.735,0.3394,OK,OK,OK,1.735,0.0394,normal
2026-05-10 18:51:53,PIECE_A,122.767,15.924,446.077,0.3074,449.415,0.3087,OK,OK,OK,-0.585,0.0087,normal
2026-05-10 18:51:58,PIECE_A,129.557,9.86,444.388,0.3316,450.137,0.318,OK,OK,OK,0.137,0.018,normal
2026-05-10 18:52:03,PIECE_A,122.704,18.95,451.555,0.4073,449.364,0.3081,OK,OK,OK,-0.636,0.0081,normal
2026-05-10 18:52:08,PIECE_A,176.393,10.961,450.814,0.3143,449.467,0.3155,OK,OK,OK,-0.533,0.0155,normal
2026-05-10 18:52:13,PIECE_A,88.714,14.699,454.093,0.1428,448.192,0.2501,OK,OK,OK,-1.808,-0.0499,derive_1
2026-05-10 18:52:18,PIECE_A,163.991,18.203,452.277,0.2841,444.616,0.2715,KO,OK,KO,-5.384,-0.0285,derive_2
2026-05-10 18:52:23,PIECE_A,127.616,17.55,452.947,0.1552,444.017,0.1973,KO,OK,KO,-5.983,-0.1027,derive_3
2026-05-10 18:52:28,PIECE_A,94.709,8.206,445.279,0.215,442.786,0.202,KO,OK,KO,-7.214,-0.098,derive_4
2026-05-10 18:52:33,PIECE_A,91.127,8.77,442.907,0.1789,439.749,0.1986,KO,OK,KO,-10.251,-0.1014,derive_5
2026-05-10 18:52:38,PIECE_A,117.196,16.249,448.435,0.1658,437.686,0.1559,KO,OK,KO,-12.314,-0.1441,derive_6
2026-05-10 18:52:43,PIECE_A,164.379,8.269,451.816,0.302,435.484,0.1802,KO,OK,KO,-14.516,-0.1198,derive_7
2026-05-10 18:52:48,PIECE_A,89.34,13.763,448.663,0.0944,434.13,0.125,KO,OK,KO,-15.87,-0.175,derive_8
2026-05-10 18:52:53,PIECE_A,72.353,13.96,451.267,0.2053,431.898,0.1122,KO,OK,KO,-18.102,-0.1878,derive_9
2026-05-10 18:52:58,PIECE_A,99.818,5.798,446.712,0.0959,429.609,0.0727,KO,KO,KO,-20.391,-0.2273,derive_10
2026-05-10 18:53:03,PIECE_A,10.768,7.9,444.59,0.0671,414.124,-0.0924,KO,KO,KO,-35.876,-0.3924,rupture
2026-05-10 18:53:08,PIECE_A,128.927,13.779,442.315,0.4949,449.138,0.3403,OK,OK,OK,-0.862,0.0403,normal
2026-05-10 18:53:13,PIECE_A,167.621,8.049,444.192,0.1268,449.787,0.2681,OK,OK,OK,-0.213,-0.0319,normal
2026-05-10 18:53:18,PIECE_A,90.653,7.855,452.039,0.2309,449.296,0.2653,OK,OK,OK,-0.704,-0.0347,normal
2026-05-10 18:53:24,PIECE_A,81.679,16.74,444.192,0.3784,451.288,0.3174,OK,OK,OK,1.288,0.0174,normal
2026-05-10 18:53:29,PIECE_A,141.044,6.065,449.131,0.4601,449.749,0.3433,OK,OK,OK,-0.251,0.0433,normal
2026-05-10 18:53:34,PIECE_A,185.666,9.612,451.847,0.1455,450.002,0.2515,OK,OK,OK,0.002,-0.0485,normal
2026-05-10 18:53:39,PIECE_A,92.649,17.322,453.416,0.1526,447.474,0.2641,OK,OK,OK,-2.526,-0.0359,normal
2026-05-10 18:53:44,PIECE_A,130.223,11.626,446.352,0.4816,450.91,0.3355,OK,OK,OK,0.91,0.0355,normal
2026-05-10 18:53:49,PIECE_A,136.37,11.625,448.235,0.4851,450.937,0.3243,OK,OK,OK,0.937,0.0243,normal
2026-05-10 18:53:54,PIECE_A,127.864,11.629,450.953,0.2477,449.76,0.2796,OK,OK,OK,-0.24,-0.0204,normal
2026-05-10 18:53:59,PIECE_A,177.448,7.821,444.563,0.1527,450.319,0.283,OK,OK,OK,0.319,-0.017,normal
2026-05-10 18:54:04,PIECE_A,144.795,11.748,443.563,0.3329,447.715,0.2858,OK,OK,OK,-2.285,-0.0142,derive_1
2026-05-10 18:54:09,PIECE_A,97.732,8.183,445.928,0.412,445.726,0.2918,OK,OK,OK,-4.274,-0.0082,derive_2
2026-05-10 18:54:14,PIECE_A,96.055,10.556,440.072,0.1492,443.133,0.197,KO,OK,KO,-6.867,-0.103,derive_3
2026-05-10 18:54:19,PIECE_A,77.697,12.913,443.2,0.2315,441.818,0.2237,KO,OK,KO,-8.182,-0.0763,derive_4
2026-05-10 18:54:24,PIECE_A,77.422,14.965,446.161,0.2846,440.185,0.1939,KO,OK,KO,-9.815,-0.1061,derive_5
2026-05-10 18:54:29,PIECE_A,122.143,7.48,437.417,0.2805,437.514,0.1835,KO,OK,KO,-12.486,-0.1165,derive_6
2026-05-10 18:54:34,PIECE_A,170.832,16.189,437.954,0.2962,435.196,0.1989,KO,OK,KO,-14.804,-0.1011,derive_7
2026-05-10 18:54:39,PIECE_A,87.954,20.014,445.934,0.3581,434.605,0.1566,KO,OK,KO,-15.395,-0.1434,derive_8
2026-05-10 18:54:44,PIECE_A,166.699,19.304,441.814,0.3328,432.291,0.1551,KO,OK,KO,-17.709,-0.1449,derive_9
2026-05-10 18:54:49,PIECE_A,152.652,15.446,451.265,0.1654,429.679,0.0842,KO,KO,KO,-20.321,-0.2158,derive_10
2026-05-10 18:54:54,PIECE_A,11.174,6.464,434.816,0.3929,413.893,-0.0297,KO,KO,KO,-36.107,-0.3297,rupture
2026-05-10 18:54:59,PIECE_A,115.875,17.03,442.668,0.2422,450.515,0.2668,OK,OK,OK,0.515,-0.0332,normal
2026-05-10 18:55:04,PIECE_A,155.25,7.539,455.192,0.1289,450.037,0.2348,OK,OK,OK,0.037,-0.0652,normal
2026-05-10 18:55:09,PIECE_A,192.687,11.063,452.614,0.1446,450.657,0.2622,OK,OK,OK,0.657,-0.0378,normal
2026-05-10 18:55:14,PIECE_A,178.987,18.238,454.251,0.346,449.197,0.3123,OK,OK,OK,-0.803,0.0123,normal
2026-05-10 18:55:19,PIECE_A,180.391,14.109,442.039,0.3221,449.462,0.3015,OK,OK,OK,-0.538,0.0015,normal
2026-05-10 18:55:24,PIECE_A,135.738,9.521,443.488,0.3632,450.421,0.3023,OK,OK,OK,0.421,0.0023,normal
2026-05-10 18:55:29,PIECE_A,122.45,5.966,457.408,0.3622,450.43,0.2983,OK,OK,OK,0.43,-0.0017,normal
2026-05-10 18:55:34,PIECE_A,144.296,8.98,454.072,0.1127,450.35,0.2578,OK,OK,OK,0.35,-0.0422,normal
2026-05-10 18:55:39,PIECE_A,195.363,6.169,455.917,0.4065,451.263,0.3276,OK,OK,OK,1.263,0.0276,normal
2026-05-10 18:55:44,PIECE_A,89.202,14.471,455.927,0.3184,449.713,0.3103,OK,OK,OK,-0.287,0.0103,normal
2026-05-10 18:55:49,PIECE_A,97.625,10.592,456.11,0.2712,450.027,0.2987,OK,OK,OK,0.027,-0.0013,normal
2026-05-10 18:55:54,PIECE_A,120.138,9.904,447.035,0.3644,451.445,0.3145,OK,OK,OK,1.445,0.0145,normal
2026-05-10 18:55:59,PIECE_A,131.058,19.971,455.633,0.1594,449.966,0.2686,OK,OK,OK,-0.034,-0.0314,normal
2026-05-10 18:56:04,PIECE_A,144.365,8.458,445.252,0.3496,450.252,0.3112,OK,OK,OK,0.252,0.0112,normal
2026-05-10 18:56:09,PIECE_A,88.367,12.771,450.552,0.2819,449.749,0.2543,OK,OK,OK,-0.251,-0.0457,normal
2026-05-10 18:56:14,PIECE_A,85.747,12.728,443.911,0.3872,449.901,0.3185,OK,OK,OK,-0.099,0.0185,normal
2026-05-10 18:56:19,PIECE_A,129.666,18.589,449.308,0.4558,450.24,0.3501,OK,OK,OK,0.24,0.0501,normal
2026-05-10 18:56:24,PIECE_A,181.888,19.11,441.467,0.372,450.992,0.3276,OK,OK,OK,0.992,0.0276,normal
2026-05-10 18:56:29,PIECE_A,90.559,6.126,443.451,0.1308,451.7,0.2626,OK,OK,OK,1.7,-0.0374,normal
2026-05-10 18:56:34,PIECE_A,102.425,15.85,455.117,0.495,449.861,0.3618,OK,OK,OK,-0.139,0.0618,normal
2026-05-10 18:56:39,PIECE_A,103.986,13.463,443.194,0.3833,449.982,0.3473,OK,OK,OK,-0.018,0.0473,normal
2026-05-10 18:56:45,PIECE_A,86.437,15.82,451.087,0.1633,448.966,0.2545,OK,OK,OK,-1.034,-0.0455,normal
2026-05-10 18:56:50,PIECE_A,183.261,12.341,452.243,0.229,450.059,0.2804,OK,OK,OK,0.059,-0.0196,normal
2026-05-10 18:56:55,PIECE_A,139.066,8.074,446.305,0.2676,448.466,0.2887,OK,OK,OK,-1.534,-0.0113,normal
2026-05-10 18:57:00,PIECE_A,136.866,15.992,445.459,0.4666,449.788,0.3337,OK,OK,OK,-0.212,0.0337,normal
2026-05-10 18:57:05,PIECE_A,101.391,19.879,444.875,0.4385,449.705,0.346,OK,OK,OK,-0.295,0.046,normal
2026-05-10 18:57:10,PIECE_A,150.177,8.265,452.857,0.4227,450.541,0.3146,OK,OK,OK,0.541,0.0146,normal
2026-05-10 18:57:15,PIECE_A,87.394,15.958,457.898,0.2382,449.728,0.2753,OK,OK,OK,-0.272,-0.0247,normal
2026-05-10 18:57:20,PIECE_A,106.503,5.618,448.728,0.2312,451.513,0.2948,OK,OK,OK,1.513,-0.0052,normal
2026-05-10 18:57:25,PIECE_A,191.658,5.92,456.105,0.1946,449.937,0.2855,OK,OK,OK,-0.063,-0.0145,normal
2026-05-10 18:57:30,PIECE_A,154.002,7.579,454.116,0.3707,449.802,0.3113,OK,OK,OK,-0.198,0.0113,normal
2026-05-10 18:57:35,PIECE_A,193.845,17.595,452.234,0.1807,449.627,0.2809,OK,OK,OK,-0.373,-0.0191,normal
2026-05-10 18:59:26,PIECE_A,157.065,6.828,444.417,0.234,450.888,0.3021,OK,OK,OK,0.888,0.0021,normal
2026-05-10 18:59:31,PIECE_A,173.592,18.427,449.523,0.1955,449.047,0.2796,OK,OK,OK,-0.953,-0.0204,normal
2026-05-10 18:59:36,PIECE_A,98.674,11.831,448.179,0.4876,449.062,0.3292,OK,OK,OK,-0.938,0.0292,normal
2026-05-10 18:59:41,PIECE_A,152.507,10.056,452.692,0.1129,451.293,0.2651,OK,OK,OK,1.293,-0.0349,normal
2026-05-10 18:59:46,PIECE_A,106.86,13.667,458.368,0.1653,449.055,0.2716,OK,OK,OK,-0.945,-0.0284,normal
2026-05-10 18:59:51,PIECE_A,92.432,7.93,446.29,0.4923,450.08,0.3491,OK,OK,OK,0.08,0.0491,normal
2026-05-10 18:59:56,PIECE_A,126.593,12.425,453.285,0.3446,450.881,0.3061,OK,OK,OK,0.881,0.0061,normal
2026-05-10 19:00:01,PIECE_A,135.909,8.94,450.172,0.1037,449.694,0.2476,OK,OK,OK,-0.306,-0.0524,normal
2026-05-10 19:00:06,PIECE_A,95.595,13.302,446.69,0.1635,448.335,0.2385,OK,OK,OK,-1.665,-0.0615,derive_1
2026-05-10 19:00:11,PIECE_A,148.893,5.218,448.705,0.3811,445.396,0.277,OK,OK,OK,-4.604,-0.023,derive_2
2026-05-10 19:00:16,PIECE_A,105.366,9.99,443.31,0.3987,445.21,0.2754,OK,OK,OK,-4.79,-0.0246,derive_3
2026-05-10 19:00:21,PIECE_A,116.287,5.426,448.0,0.4566,441.728,0.2749,KO,OK,KO,-8.272,-0.0251,derive_4
2026-05-10 19:00:26,PIECE_A,150.126,19.982,449.143,0.4616,439.078,0.2494,KO,OK,KO,-10.922,-0.0506,derive_5
2026-05-10 19:00:31,PIECE_A,165.203,18.209,453.312,0.0755,438.772,0.1267,KO,OK,KO,-11.228,-0.1733,derive_6
2026-05-10 19:00:36,PIECE_A,169.129,6.803,446.983,0.1966,437.358,0.1404,KO,OK,KO,-12.642,-0.1596,derive_7
2026-05-10 19:00:41,PIECE_A,145.174,21.098,442.733,0.2415,432.9,0.1229,KO,OK,KO,-17.1,-0.1771,derive_8
2026-05-10 19:00:46,PIECE_A,132.895,17.441,448.518,0.2493,432.029,0.1314,KO,OK,KO,-17.971,-0.1686,derive_9
2026-05-10 19:00:51,PIECE_A,167.38,11.229,435.05,0.371,429.88,0.1397,KO,OK,KO,-20.12,-0.1603,derive_10
2026-05-10 19:00:56,PIECE_A,13.119,6.416,446.78,0.2422,414.265,-0.0557,KO,KO,KO,-35.735,-0.3557,rupture
2026-05-10 19:01:01,PIECE_A,158.699,15.479,444.24,0.4778,449.509,0.3535,OK,OK,OK,-0.491,0.0535,normal
2026-05-10 19:01:06,PIECE_A,189.756,7.271,454.142,0.3409,450.065,0.3119,OK,OK,OK,0.065,0.0119,normal
2026-05-10 19:01:11,PIECE_A,197.629,6.531,458.836,0.3869,450.465,0.3211,OK,OK,OK,0.465,0.0211,normal
2026-05-10 19:01:16,PIECE_A,184.774,17.778,458.301,0.1764,448.699,0.3019,OK,OK,OK,-1.301,0.0019,normal
2026-05-10 19:01:21,PIECE_A,98.121,11.543,454.245,0.1012,449.526,0.2469,OK,OK,OK,-0.474,-0.0531,normal
2026-05-10 19:01:26,PIECE_A,112.815,8.56,458.612,0.3714,451.03,0.3271,OK,OK,OK,1.03,0.0271,normal
2026-05-10 19:01:31,PIECE_A,122.313,11.076,452.175,0.3977,450.658,0.3505,OK,OK,OK,0.658,0.0505,normal
2026-05-10 19:01:36,PIECE_A,113.861,9.698,441.596,0.2766,449.588,0.2725,OK,OK,OK,-0.412,-0.0275,normal
2026-05-10 19:01:41,PIECE_A,194.216,10.032,441.255,0.283,450.164,0.3011,OK,OK,OK,0.164,0.0011,normal
2026-05-10 19:01:46,PIECE_A,195.303,5.85,455.483,0.4966,449.868,0.3342,OK,OK,OK,-0.132,0.0342,normal
2026-05-10 19:01:51,PIECE_A,98.311,5.484,449.489,0.4282,450.373,0.3471,OK,OK,OK,0.373,0.0471,normal
2026-05-10 19:01:56,PIECE_A,100.364,16.749,453.321,0.4273,449.682,0.3203,OK,OK,OK,-0.318,0.0203,normal
2026-05-10 19:02:02,PIECE_A,171.666,11.997,443.143,0.3312,450.935,0.295,OK,OK,OK,0.935,-0.005,normal
2026-05-10 19:02:07,PIECE_A,163.157,8.959,458.179,0.1778,450.996,0.2845,OK,OK,OK,0.996,-0.0155,normal
2026-05-10 19:02:12,PIECE_A,133.066,9.044,456.71,0.4254,449.805,0.3219,OK,OK,OK,-0.195,0.0219,normal
2026-05-10 19:02:17,PIECE_A,169.005,8.525,451.895,0.164,450.433,0.27,OK,OK,OK,0.433,-0.03,normal
2026-05-10 19:02:22,PIECE_A,189.127,17.888,450.154,0.4626,450.969,0.3269,OK,OK,OK,0.969,0.0269,normal
2026-05-10 19:02:27,PIECE_A,115.578,18.647,446.758,0.2393,449.486,0.2894,OK,OK,OK,-0.514,-0.0106,normal
2026-05-10 19:02:32,PIECE_A,178.258,15.991,452.7,0.1899,450.083,0.2768,OK,OK,OK,0.083,-0.0232,normal
