horodatage,modele,fournisseur_matiere,numero_pastille,pastille_retaillee,numero_passage,four_consigne_C,four_reel_C,inducteur_puissance_1_consigne_kW,inducteur_puissance_1_reel_kW,inducteur_puissance_2_consigne_kW,inducteur_puissance_2_reel_kW,pyrometre_inducteur_1_C,pyrometre_inducteur_2_C,frette_int_consigne_C,frette_int_reel_C,frette_ext_consigne_C,frette_ext_reel_C,temps_chauffe_inducteur_s,temps_transition_s,compteur_chauffe_ok,compteur_frappe_ok,machine,nom_recette,diametre_apres_filage_mm,longueur_apres_filage_mm,concentricite_mm,conformite_diametre,conformite_longueur,conformite_concentricite,conformite_globale,ecart_diametre_mm,ecart_longueur_mm,ecart_concentricite_mm,regime_anomalie,inducteur_1_point_1_C,inducteur_1_point_2_C,inducteur_1_point_3_C,inducteur_1_point_4_C,inducteur_2_point_1_C,inducteur_2_point_2_C,inducteur_2_point_3_C,inducteur_2_point_4_C,lvdt_01_consigne_mm,lvdt_01_reel_mm,lvdt_01_ecart_mm,lvdt_02_consigne_mm,lvdt_02_reel_mm,lvdt_02_ecart_mm,lvdt_03_consigne_mm,lvdt_03_reel_mm,lvdt_03_ecart_mm,lvdt_04_consigne_mm,lvdt_04_reel_mm,lvdt_04_ecart_mm,lvdt_05_consigne_mm,lvdt_05_reel_mm,lvdt_05_ecart_mm,lvdt_06_consigne_mm,lvdt_06_reel_mm,lvdt_06_ecart_mm,lvdt_07_consigne_mm,lvdt_07_reel_mm,lvdt_07_ecart_mm,lvdt_08_consigne_mm,lvdt_08_reel_mm,lvdt_08_ecart_mm,lvdt_09_consigne_mm,lvdt_09_reel_mm,lvdt_09_ecart_mm,lvdt_10_consigne_mm,lvdt_10_reel_mm,lvdt_10_ecart_mm,lvdt_11_consigne_mm,lvdt_11_reel_mm,lvdt_11_ecart_mm,lvdt_12_consigne_mm,lvdt_12_reel_mm,lvdt_12_ecart_mm,lvdt_13_consigne_mm,lvdt_13_reel_mm,lvdt_13_ecart_mm,lvdt_14_consigne_mm,lvdt_14_reel_mm,lvdt_14_ecart_mm,lvdt_15_consigne_mm,lvdt_15_reel_mm,lvdt_15_ecart_mm,lvdt_16_consigne_mm,lvdt_16_reel_mm,lvdt_16_ecart_mm,lvdt_17_consigne_mm,lvdt_17_reel_mm,lvdt_17_ecart_mm,lvdt_18_consigne_mm,lvdt_18_reel_mm,lvdt_18_ecart_mm,lvdt_19_consigne_mm,lvdt_19_reel_mm,lvdt_19_ecart_mm,lvdt_20_consigne_mm,lvdt_20_reel_mm,lvdt_20_ecart_mm,lvdt_21_consigne_mm,lvdt_21_reel_mm,lvdt_21_ecart_mm
2026-05-10 18:44:56,PIECE_A,FournB,10000,True,1,532.98,558.93,93.554,95.301,94.41,96.823,1006.78,1120.13,178.39,176.91,129.97,131.09,13.22,6.94,1,1,M2224,3M1L1A_C,28.5058,124.991,0.00294,OK,OK,OK,OK,0.0058,-0.009,0.00294,normal,995.37,995.78,991.31,1029.03,1111.78,1106.46,1145.97,1077.71,18.1347,18.0641,-0.0706,23.5531,23.5634,0.0103,31.5874,31.5701,-0.0173,29.5376,29.6297,0.0921,36.9335,36.9477,0.0142,26.1895,26.2374,0.0479,14.3866,14.4782,0.0916,13.3061,13.3508,0.0447,44.6123,44.5966,-0.0157,18.9652,19.0601,0.0949,42.7583,42.8006,0.0423,13.879,13.8762,-0.0028,40.7245,40.795,0.0705,39.7714,39.8067,0.0353,22.3025,22.2751,-0.0274,44.1905,44.1182,-0.0723,33.0357,33.1294,0.0937,19.2127,19.2734,0.0607,29.732,29.6897,-0.0423,42.6684,42.7149,0.0465,44.0041,43.9081,-0.096
2026-05-10 18:45:01,PIECE_A,FournB,10001,False,1,531.2,548.75,137.266,134.042,119.104,121.473,1110.29,815.46,181.95,181.95,149.21,148.3,12.36,5.55,2,2,M2225,3M1L1A_C,28.5058,125.035,0.00181,OK,OK,OK,OK,0.0058,0.035,0.00181,normal,1140.21,1103.91,1115.62,1139.66,804.01,795.23,813.24,812.68,31.2833,31.2069,-0.0764,39.0458,39.0823,0.0365,41.1118,41.0327,-0.0791,13.0778,13.155,0.0772,20.4926,20.4115,-0.0811,45.5347,45.5089,-0.0258,32.3566,32.3961,0.0395,43.2924,43.2672,-0.0252,43.7345,43.8135,0.079,46.8009,46.8304,0.0295,36.4733,36.4887,0.0154,27.4984,27.5746,0.0762,28.5659,28.4999,-0.066,46.0359,46.11,0.0741,45.8361,45.8285,-0.0076,33.4725,33.496,0.0235,26.1154,26.0423,-0.0731,19.899,19.8595,-0.0395,39.5975,39.5417,-0.0558,15.4714,15.4312,-0.0402,26.1719,26.1807,0.0088
2026-05-10 18:45:06,PIECE_A,FournB,10002,False,3,516.85,494.2,120.472,122.596,92.55,94.531,1112.3,1005.18,165.57,165.83,154.01,154.34,14.11,6.62,3,3,M2225,3M1L2A_C,28.5002,125.036,0.0059,OK,OK,OK,OK,0.0002,0.036,0.0059,normal,1129.27,1144.21,1113.66,1098.15,1006.78,985.27,1018.58,989.07,36.2709,36.303,0.0321,16.8042,16.8428,0.0386,30.246,30.1856,-0.0604,33.9275,33.8982,-0.0293,23.6241,23.7113,0.0872,47.0313,46.9833,-0.048,32.1214,32.0517,-0.0697,32.3043,32.4011,0.0968,32.5218,32.4477,-0.0741,16.3808,16.2979,-0.0829,20.4051,20.3844,-0.0207,37.2072,37.1288,-0.0784,19.7672,19.78,0.0128,22.5144,22.4498,-0.0646,16.3926,16.4116,0.019,30.3545,30.3526,-0.0019,15.2616,15.2838,0.0222,34.8681,34.8635,-0.0046,44.6247,44.6305,0.0058,13.836,13.8223,-0.0137,47.9323,47.9623,0.03
2026-05-10 18:45:11,PIECE_A,FournC,10003,False,2,430.56,450.9,68.674,69.681,104.783,101.72,1179.83,1009.17,182.48,183.97,164.22,166.36,20.13,4.51,4,4,M2225,3M1L3A_C,28.4936,124.989,0.01366,OK,OK,OK,OK,-0.0064,-0.011,0.01366,derive_1,1180.0,1175.11,1180.0,1180.0,1018.76,981.02,1016.26,1006.99,37.6252,37.617,-0.0082,18.602,18.5341,-0.0679,19.6426,19.6119,-0.0307,16.3884,16.3328,-0.0556,31.2518,31.2518,0.0,39.8292,39.7563,-0.0729,25.049,25.0069,-0.0421,28.3333,28.3488,0.0155,30.5631,30.6303,0.0672,46.5081,46.5408,0.0327,36.384,36.3793,-0.0047,33.9678,33.9249,-0.0429,43.6642,43.6759,0.0117,12.9985,12.9043,-0.0942,34.2332,34.1953,-0.0379,45.5865,45.5783,-0.0082,46.0882,46.0514,-0.0368,24.1221,24.0586,-0.0635,23.7839,23.7639,-0.02,41.6103,41.6584,0.0481,38.8376,38.9332,0.0956
2026-05-10 18:45:16,PIECE_A,FournA,10004,False,3,402.17,388.31,88.396,90.543,115.973,116.704,995.18,1004.74,177.34,178.02,133.29,134.31,13.29,6.17,5,5,M2224,3M1L2A_C,28.4827,125.014,0.00522,OK,OK,OK,OK,-0.0173,0.014,0.00522,derive_2,1030.51,992.92,976.71,988.57,999.06,1023.5,985.47,1039.25,45.0824,45.1119,0.0295,45.769,45.7705,0.0015,42.6985,42.6126,-0.0859,38.2012,38.2406,0.0394,14.2415,14.2393,-0.0022,36.1824,36.1908,0.0084,22.84,22.8863,0.0463,45.1628,45.1082,-0.0546,19.707,19.7582,0.0512,15.0921,15.0504,-0.0417,32.2553,32.3486,0.0933,19.282,19.208,-0.074,47.1526,47.054,-0.0986,19.6268,19.566,-0.0608,42.0481,41.9649,-0.0832,12.236,12.3301,0.0941,39.3314,39.2794,-0.052,31.7806,31.7481,-0.0325,22.8387,22.91,0.0713,44.7295,44.7517,0.0222,35.653,35.7333,0.0803
2026-05-10 18:45:21,PIECE_A,FournA,10005,True,4,413.52,392.96,73.836,72.537,75.269,73.506,905.56,1148.71,152.91,153.86,137.91,139.54,17.22,4.8,6,6,M2224,3M1L1A_C,28.4619,125.073,0.00708,OK,OK,OK,OK,-0.0381,0.073,0.00708,derive_3,875.53,874.93,931.33,921.29,1120.86,1123.12,1145.84,1153.12,47.49,47.5801,0.0901,36.0763,36.0251,-0.0512,18.5923,18.5043,-0.088,28.0918,28.1061,0.0143,26.6667,26.7605,0.0938,33.422,33.4053,-0.0167,35.7439,35.774,0.0301,29.8419,29.7845,-0.0574,47.0343,46.9734,-0.0609,45.0803,45.0601,-0.0202,18.6044,18.6425,0.0381,40.0527,40.0514,-0.0013,46.4886,46.5062,0.0176,44.5359,44.5147,-0.0212,21.9877,21.9577,-0.03,47.3305,47.4017,0.0712,44.297,44.2564,-0.0406,47.4739,47.3792,-0.0947,17.094,17.1692,0.0752,41.1766,41.1262,-0.0504,37.2618,37.2129,-0.0489
2026-05-10 18:45:26,PIECE_A,FournA,10006,False,4,428.41,409.1,112.815,109.868,109.726,110.832,875.07,1063.27,198.89,197.79,135.5,134.73,13.22,3.29,7,7,M2225,3M1L1A_C,28.4601,124.973,0.01243,OK,OK,OK,OK,-0.0399,-0.027,0.01243,derive_4,878.94,896.06,868.76,868.66,1037.41,1037.96,1071.91,1061.43,29.3502,29.4476,0.0974,13.3401,13.4164,0.0763,39.8956,39.8409,-0.0547,36.3686,36.4564,0.0878,42.9261,42.851,-0.0751,18.5952,18.5078,-0.0874,39.284,39.2587,-0.0253,21.1567,21.0599,-0.0968,28.9564,28.9458,-0.0106,30.0475,30.0988,0.0513,26.0515,26.0503,-0.0012,47.5694,47.5345,-0.0349,39.9516,39.8573,-0.0943,36.9087,36.964,0.0553,31.2739,31.3101,0.0362,42.3305,42.3277,-0.0028,16.5955,16.5666,-0.0289,43.3502,43.2663,-0.0839,47.7925,47.7393,-0.0532,21.3779,21.3676,-0.0103,30.7567,30.7144,-0.0423
2026-05-10 18:45:31,PIECE_A,FournC,10007,False,3,462.64,454.2,108.139,108.56,76.805,78.42,1089.68,1003.22,185.21,185.78,154.28,152.57,19.49,3.82,8,8,M2224,3M1L3A_C,28.4645,125.013,0.02156,OK,OK,OK,OK,-0.0355,0.013,0.02156,derive_5,1111.54,1090.59,1106.68,1121.27,979.19,1018.5,983.4,1022.22,33.1597,33.1928,0.0331,45.1619,45.2535,0.0916,21.0978,21.1387,0.0409,27.0108,26.9429,-0.0679,44.1553,44.1133,-0.042,45.9602,45.8783,-0.0819,30.8856,30.9738,0.0882,21.6747,21.7647,0.09,16.3973,16.3226,-0.0747,30.8237,30.7266,-0.0971,42.6609,42.6844,0.0235,28.8711,28.9325,0.0614,35.9114,35.857,-0.0544,12.9742,12.9001,-0.0741,30.9941,31.0684,0.0743,24.225,24.2943,0.0693,13.5698,13.628,0.0582,13.2743,13.3445,0.0702,18.1165,18.0373,-0.0792,15.7704,15.8168,0.0464,42.1255,42.0595,-0.066
2026-05-10 18:45:36,PIECE_A,FournC,10008,False,2,511.09,503.86,134.576,137.136,62.562,63.338,1147.85,1077.79,156.73,156.58,124.47,124.8,21.31,3.77,9,8,M2225,3M1L3A_C,28.4454,124.991,0.01339,NOK,OK,OK,NOK,-0.0546,-0.009,0.01339,derive_6,1151.73,1144.19,1167.59,1161.34,1100.77,1106.67,1055.98,1051.46,40.8634,40.7722,-0.0912,18.764,18.7326,-0.0314,42.3472,42.4227,0.0755,27.8285,27.8181,-0.0104,22.5256,22.4327,-0.0929,26.6778,26.6986,0.0208,46.9166,47.009,0.0924,29.9364,29.9857,0.0493,16.9153,16.9839,0.0686,18.4147,18.3632,-0.0515,35.8154,35.867,0.0516,26.8238,26.822,-0.0018,35.6914,35.6708,-0.0206,15.2233,15.1262,-0.0971,31.7811,31.6934,-0.0877,14.7172,14.7002,-0.017,26.4044,26.3589,-0.0455,43.4835,43.5272,0.0437,30.0743,30.1163,0.042,28.4859,28.5095,0.0236,26.5835,26.5497,-0.0338
2026-05-10 18:45:41,PIECE_A,FournC,10009,False,5,476.57,463.53,140.788,144.581,117.607,119.29,893.28,819.63,162.19,163.38,148.77,147.63,26.13,4.01,10,8,M2225,3M1L3A_C,28.4353,124.973,0.01974,NOK,OK,OK,NOK,-0.0647,-0.027,0.01974,derive_7,905.21,919.61,894.01,916.33,859.96,789.2,828.26,830.26,26.9423,26.918,-0.0243,26.6245,26.5712,-0.0533,15.1268,15.171,0.0442,44.5618,44.466,-0.0958,43.213,43.1884,-0.0246,33.6954,33.7401,0.0447,20.2253,20.296,0.0707,21.8031,21.8746,0.0715,41.3944,41.3915,-0.0029,46.5438,46.5262,-0.0176,41.0817,41.0371,-0.0446,12.142,12.1075,-0.0345,42.4406,42.3612,-0.0794,15.5955,15.6665,0.071,47.4128,47.4527,0.0399,36.409,36.36,-0.049,22.249,22.2384,-0.0106,40.4973,40.52,0.0227,20.2359,20.2545,0.0186,28.4199,28.4979,0.078,13.7101,13.6115,-0.0986
2026-05-10 18:45:46,PIECE_A,FournB,10010,False,2,535.95,520.02,59.603,61.03,105.984,106.435,832.57,1012.98,173.85,174.81,157.85,156.2,13.23,2.87,11,8,M2225,3M1L2A_C,28.4295,125.009,0.01867,NOK,OK,OK,NOK,-0.0705,0.009,0.01867,derive_8,820.09,837.03,834.14,842.48,999.16,994.4,977.14,1005.48,15.9269,15.9389,0.012,38.0045,37.9149,-0.0896,34.4991,34.4458,-0.0533,17.7485,17.8208,0.0723,41.6191,41.5592,-0.0599,13.4739,13.4161,-0.0578,44.3026,44.2408,-0.0618,33.9088,33.8675,-0.0413,24.6382,24.6139,-0.0243,32.618,32.6148,-0.0032,37.9689,38.0119,0.043,24.782,24.855,0.073,26.1611,26.2066,0.0455,45.525,45.5481,0.0231,28.0925,28.0508,-0.0417,14.9947,15.0653,0.0706,44.0807,44.0446,-0.0361,44.5139,44.5032,-0.0107,22.3637,22.3835,0.0198,18.4768,18.5605,0.0837,31.0439,30.9635,-0.0804
2026-05-10 18:45:51,PIECE_A,FournC,10011,False,5,529.62,536.39,53.376,53.927,131.214,130.329,943.72,948.48,167.23,166.62,161.71,162.2,12.97,2.86,12,8,M2225,3M1L1A_C,28.4283,124.996,0.02654,NOK,OK,OK,NOK,-0.0717,-0.004,0.02654,derive_9,930.47,932.9,951.73,937.05,912.0,974.16,954.71,947.85,12.7972,12.8089,0.0117,26.1998,26.2973,0.0975,25.0155,24.9918,-0.0237,27.6187,27.6473,0.0286,30.5034,30.4482,-0.0552,14.7097,14.6196,-0.0901,37.5556,37.5039,-0.0517,29.5069,29.5252,0.0183,25.6322,25.5867,-0.0455,39.9658,40.0557,0.0899,35.6718,35.6678,-0.004,17.9774,17.92,-0.0574,42.4988,42.5973,0.0985,25.196,25.0967,-0.0993,29.6744,29.6548,-0.0196,20.1069,20.015,-0.0919,37.0558,37.0449,-0.0109,37.6121,37.5434,-0.0687,38.0245,37.9598,-0.0647,24.1467,24.1054,-0.0413,31.8455,31.865,0.0195
